software10,TSPageRank,PrideWithMotifCoreness,TSPrideWithMotifCoreness
ant_main(10)10%=0.1,0.800000011920929,0.800000011920929,0.800000011920929
argouml(12)10%=0.1,1.0,1.0,1.0
gwtportlets(27)10%=0.1,0.29629629850387573,0.3333333432674408,0.29629629850387573
javaclient(57)10%=0.1,0.17543859779834747,0.14035087823867798,0.17543859779834747
jedit(7)10%=0.1,1.0,1.0,1.0
jgap(18)10%=0.1,0.2777777910232544,0.3333333432674408,0.3333333432674408
jhotdraw(9)10%=0.1,1.0,1.0,1.0
jmeter_core(14)10%=0.1,0.4285714328289032,0.3571428656578064,0.4285714328289032
JPMC(24)10%=0.1,0.125,0.0416666679084301,0.0833333358168602
log4j(9)10%=0.1,0.7777777910232544,0.8888888955116272,0.7777777910232544
Mars(29)10%=0.1,0.5517241358757019,0.6206896305084229,0.6206896305084229
Maze(27)10%=0.1,0.29629629850387573,0.3333333432674408,0.3333333432674408
neuroph(24)10%=0.1,0.5,0.4583333432674408,0.4583333432674408
PDFBox(12)10%=0.1,0.75,0.75,0.8333333134651184
tomcat(28)10%=0.1,0.75,0.8214285969734192,0.8928571343421936
wro4j(12)10%=0.1,1.0,1.0,1.0
Xerces(6)10%=0.1,0.8333333134651184,0.8333333134651184,0.8333333134651184
xuml(37)10%=0.1,0.0,0.0,0.0
