gwtportlets(27),PrideWithMotifPride,TSPrideWithMotifCoreness
1,0.037037037037037035,0.037037037037037035
2,0.07407407407407407,0.07407407407407407
3,0.1111111111111111,0.1111111111111111
4,0.1111111111111111,0.1111111111111111
5,0.14814814814814814,0.14814814814814814
6,0.18518518518518517,0.18518518518518517
7,0.2222222222222222,0.2222222222222222
8,0.25925925925925924,0.2222222222222222
9,0.25925925925925924,0.25925925925925924
10,0.2962962962962963,0.2962962962962963
11,0.3333333333333333,0.3333333333333333
12,0.37037037037037035,0.37037037037037035
13,0.37037037037037035,0.4074074074074074
14,0.37037037037037035,0.4074074074074074
15,0.4074074074074074,0.4074074074074074
16,0.4074074074074074,0.4074074074074074
17,0.4074074074074074,0.4074074074074074
18,0.4444444444444444,0.4074074074074074
19,0.4444444444444444,0.4444444444444444
20,0.4444444444444444,0.4444444444444444
21,0.4444444444444444,0.4444444444444444
22,0.4444444444444444,0.48148148148148145
23,0.4444444444444444,0.5185185185185185
24,0.48148148148148145,0.5555555555555556
25,0.48148148148148145,0.5555555555555556
26,0.48148148148148145,0.5925925925925926
27,0.5185185185185185,0.5925925925925926
28,0.5185185185185185,0.5925925925925926
29,0.5185185185185185,0.5925925925925926
30,0.5185185185185185,0.5925925925925926
