jedit(7),PrideWithMotifPride,TSPrideWithMotifCoreness
1,0.14285714285714285,0.14285714285714285
2,0.2857142857142857,0.2857142857142857
3,0.2857142857142857,0.2857142857142857
4,0.42857142857142855,0.42857142857142855
5,0.42857142857142855,0.42857142857142855
6,0.5714285714285714,0.42857142857142855
7,0.5714285714285714,0.5714285714285714
8,0.5714285714285714,0.5714285714285714
9,0.5714285714285714,0.5714285714285714
10,0.7142857142857143,0.5714285714285714
11,0.7142857142857143,0.7142857142857143
12,0.7142857142857143,0.7142857142857143
13,0.7142857142857143,0.7142857142857143
14,0.8571428571428571,0.7142857142857143
15,0.8571428571428571,0.7142857142857143
16,0.8571428571428571,0.7142857142857143
17,0.8571428571428571,0.7142857142857143
18,0.8571428571428571,0.8571428571428571
19,0.8571428571428571,0.8571428571428571
20,0.8571428571428571,0.8571428571428571
21,0.8571428571428571,0.8571428571428571
22,0.8571428571428571,0.8571428571428571
23,0.8571428571428571,0.8571428571428571
24,0.8571428571428571,0.8571428571428571
25,0.8571428571428571,0.8571428571428571
26,0.8571428571428571,0.8571428571428571
27,0.8571428571428571,0.8571428571428571
28,0.8571428571428571,0.8571428571428571
29,0.8571428571428571,0.8571428571428571
30,0.8571428571428571,0.8571428571428571
