jmeter_core(14),PrideWithMotifPride,TSPrideWithMotifCoreness
1,0.07142857142857142,0.07142857142857142
2,0.07142857142857142,0.07142857142857142
3,0.07142857142857142,0.07142857142857142
4,0.07142857142857142,0.07142857142857142
5,0.14285714285714285,0.07142857142857142
6,0.14285714285714285,0.07142857142857142
7,0.21428571428571427,0.07142857142857142
8,0.21428571428571427,0.07142857142857142
9,0.21428571428571427,0.14285714285714285
10,0.21428571428571427,0.21428571428571427
11,0.21428571428571427,0.21428571428571427
12,0.21428571428571427,0.2857142857142857
13,0.21428571428571427,0.35714285714285715
14,0.21428571428571427,0.35714285714285715
15,0.21428571428571427,0.35714285714285715
16,0.21428571428571427,0.35714285714285715
17,0.21428571428571427,0.35714285714285715
18,0.21428571428571427,0.35714285714285715
19,0.2857142857142857,0.35714285714285715
20,0.2857142857142857,0.35714285714285715
21,0.2857142857142857,0.35714285714285715
22,0.2857142857142857,0.35714285714285715
23,0.2857142857142857,0.35714285714285715
24,0.2857142857142857,0.42857142857142855
25,0.2857142857142857,0.42857142857142855
26,0.2857142857142857,0.42857142857142855
27,0.2857142857142857,0.5
28,0.2857142857142857,0.5
29,0.35714285714285715,0.5
30,0.35714285714285715,0.5
