javaclient(57),PrideWithMotifPride,TSPrideWithMotifCoreness
1,0.0,0.0
2,0.0,0.017543859649122806
3,0.017543859649122806,0.017543859649122806
4,0.017543859649122806,0.03508771929824561
5,0.03508771929824561,0.03508771929824561
6,0.03508771929824561,0.03508771929824561
7,0.03508771929824561,0.03508771929824561
8,0.03508771929824561,0.03508771929824561
9,0.03508771929824561,0.03508771929824561
10,0.03508771929824561,0.05263157894736842
11,0.03508771929824561,0.07017543859649122
12,0.05263157894736842,0.08771929824561403
13,0.07017543859649122,0.08771929824561403
14,0.08771929824561403,0.10526315789473684
15,0.08771929824561403,0.12280701754385964
16,0.08771929824561403,0.14035087719298245
17,0.08771929824561403,0.15789473684210525
18,0.10526315789473684,0.17543859649122806
19,0.12280701754385964,0.19298245614035087
20,0.14035087719298245,0.21052631578947367
21,0.15789473684210525,0.22807017543859648
22,0.17543859649122806,0.24561403508771928
23,0.19298245614035087,0.2631578947368421
24,0.21052631578947367,0.2807017543859649
25,0.22807017543859648,0.2807017543859649
26,0.24561403508771928,0.2982456140350877
27,0.2631578947368421,0.3157894736842105
28,0.2807017543859649,0.3333333333333333
29,0.2982456140350877,0.3333333333333333
30,0.3157894736842105,0.3508771929824561
