tomcat(28),PrideWithMotifPride,TSPrideWithMotifCoreness
1,0.0,0.0
2,0.0,0.0
3,0.03571428571428571,0.0
4,0.03571428571428571,0.03571428571428571
5,0.07142857142857142,0.03571428571428571
6,0.07142857142857142,0.03571428571428571
7,0.10714285714285714,0.07142857142857142
8,0.10714285714285714,0.07142857142857142
9,0.10714285714285714,0.07142857142857142
10,0.10714285714285714,0.10714285714285714
11,0.14285714285714285,0.14285714285714285
12,0.14285714285714285,0.14285714285714285
13,0.17857142857142858,0.14285714285714285
14,0.17857142857142858,0.14285714285714285
15,0.17857142857142858,0.14285714285714285
16,0.17857142857142858,0.14285714285714285
17,0.17857142857142858,0.14285714285714285
18,0.17857142857142858,0.17857142857142858
19,0.17857142857142858,0.17857142857142858
20,0.17857142857142858,0.17857142857142858
21,0.17857142857142858,0.21428571428571427
22,0.17857142857142858,0.21428571428571427
23,0.17857142857142858,0.21428571428571427
24,0.17857142857142858,0.25
25,0.17857142857142858,0.25
26,0.17857142857142858,0.25
27,0.17857142857142858,0.25
28,0.17857142857142858,0.25
29,0.21428571428571427,0.25
30,0.21428571428571427,0.2857142857142857
