Maze(27),PrideWithMotifPride,TSPrideWithMotifCoreness
1,0.037037037037037035,0.037037037037037035
2,0.07407407407407407,0.07407407407407407
3,0.1111111111111111,0.1111111111111111
4,0.14814814814814814,0.14814814814814814
5,0.18518518518518517,0.18518518518518517
6,0.18518518518518517,0.2222222222222222
7,0.2222222222222222,0.2222222222222222
8,0.25925925925925924,0.25925925925925924
9,0.2962962962962963,0.2962962962962963
10,0.3333333333333333,0.3333333333333333
11,0.37037037037037035,0.37037037037037035
12,0.4074074074074074,0.4074074074074074
13,0.4074074074074074,0.4444444444444444
14,0.4074074074074074,0.48148148148148145
15,0.4444444444444444,0.48148148148148145
16,0.4444444444444444,0.48148148148148145
17,0.4444444444444444,0.5185185185185185
18,0.4444444444444444,0.5185185185185185
19,0.4444444444444444,0.5555555555555556
20,0.48148148148148145,0.5555555555555556
21,0.48148148148148145,0.5555555555555556
22,0.5185185185185185,0.5555555555555556
23,0.5555555555555556,0.5555555555555556
24,0.5555555555555556,0.5555555555555556
25,0.5555555555555556,0.5555555555555556
26,0.5555555555555556,0.5555555555555556
27,0.5555555555555556,0.5555555555555556
28,0.5555555555555556,0.5555555555555556
29,0.5555555555555556,0.5925925925925926
30,0.5555555555555556,0.5925925925925926
