software15,BiMo-M,BiMo-B,BiMo
ant_main(10)15%=0.15,0.8999999761581421,0.8999999761581421,0.8999999761581421
argouml(12)15%=0.15,1.0,1.0,1.0
gwtportlets(27)15%=0.15,0.4444444477558136,0.48148149251937866,0.48148149251937866
javaclient(57)15%=0.15,0.35087719559669495,0.35087719559669495,0.38596490025520325
jedit(7)15%=0.15,1.0,1.0,1.0
jgap(18)15%=0.15,0.3888888955116272,0.4444444477558136,0.4444444477558136
jhotdraw(9)15%=0.15,1.0,1.0,1.0
jmeter_core(14)15%=0.15,0.5,0.5,0.5714285969734192
JPMC(24)15%=0.15,0.1666666716337204,0.0416666679084301,0.125
log4j(9)15%=0.15,0.7777777910232544,0.8888888955116272,0.7777777910232544
Mars(29)15%=0.15,0.6206896305084229,0.7241379022598267,0.7241379022598267
Maze(27)15%=0.15,0.40740740299224854,0.4444444477558136,0.48148149251937866
neuroph(24)15%=0.15,0.5,0.5416666865348816,0.5416666865348816
PDFBox(12)15%=0.15,0.9166666865348816,0.9166666865348816,0.9166666865348816
tomcat(28)15%=0.15,0.9285714030265808,0.9285714030265808,0.9285714030265808
wro4j(12)15%=0.15,1.0,1.0,1.0
Xerces(6)15%=0.15,0.8333333134651184,0.8333333134651184,0.8333333134651184
xuml(37)15%=0.15,0.0,0.0,0.027027027681469917
