software11,BiMo-M,BiMo-B,BiMo
ant_main(10)11%=0.11,0.800000011920929,0.800000011920929,0.8999999761581421
argouml(12)11%=0.11,1.0,1.0,1.0
gwtportlets(27)11%=0.11,0.3333333432674408,0.40740740299224854,0.40740740299224854
javaclient(57)11%=0.11,0.22807016968727112,0.21052631735801697,0.24561403691768646
jedit(7)11%=0.11,1.0,1.0,1.0
jgap(18)11%=0.11,0.3333333432674408,0.3333333432674408,0.3333333432674408
jhotdraw(9)11%=0.11,1.0,1.0,1.0
jmeter_core(14)11%=0.11,0.4285714328289032,0.3571428656578064,0.3571428656578064
JPMC(24)11%=0.11,0.125,0.0416666679084301,0.0833333358168602
log4j(9)11%=0.11,0.7777777910232544,0.7777777910232544,0.7777777910232544
Mars(29)11%=0.11,0.5862069129943848,0.6206896305084229,0.6206896305084229
Maze(27)11%=0.11,0.3333333432674408,0.37037035822868347,0.37037035822868347
neuroph(24)11%=0.11,0.4583333432674408,0.4583333432674408,0.4583333432674408
PDFBox(12)11%=0.11,0.8333333134651184,0.9166666865348816,0.8333333134651184
tomcat(28)11%=0.11,0.8571428656578064,0.9285714030265808,0.8928571343421936
wro4j(12)11%=0.11,1.0,1.0,1.0
Xerces(6)11%=0.11,0.8333333134651184,0.8333333134651184,0.8333333134651184
xuml(37)11%=0.11,0.0,0.0,0.0
