software01,BiMo-M,BiMo-B,BiMo
ant_main(10)1%=0.01,0.30000001192092896,0.20000000298023224,0.4000000059604645
argouml(12)1%=0.01,0.3333333432674408,0.5,0.5
gwtportlets(27)1%=0.01,0.03703703731298447,0.03703703731298447,0.03703703731298447
javaclient(57)1%=0.01,0.017543859779834747,0.0,0.017543859779834747
jedit(7)1%=0.01,0.7142857313156128,0.7142857313156128,0.7142857313156128
jgap(18)1%=0.01,0.0555555559694767,0.0555555559694767,0.0555555559694767
jhotdraw(9)1%=0.01,0.2222222238779068,0.2222222238779068,0.2222222238779068
jmeter_core(14)1%=0.01,0.0714285746216774,0.0714285746216774,0.0714285746216774
JPMC(24)1%=0.01,0.0416666679084301,0.0,0.0
log4j(9)1%=0.01,0.1111111119389534,0.3333333432674408,0.2222222238779068
Mars(29)1%=0.01,0.13793103396892548,0.13793103396892548,0.13793103396892548
Maze(27)1%=0.01,0.03703703731298447,0.03703703731298447,0.03703703731298447
neuroph(24)1%=0.01,0.0416666679084301,0.0833333358168602,0.0833333358168602
PDFBox(12)1%=0.01,0.1666666716337204,0.1666666716337204,0.1666666716337204
tomcat(28)1%=0.01,0.2142857164144516,0.25,0.25
wro4j(12)1%=0.01,0.0833333358168602,0.1666666716337204,0.1666666716337204
Xerces(6)1%=0.01,0.1666666716337204,0.0,0.1666666716337204
xuml(37)1%=0.01,0.0,0.0,0.0
