software10,BiMo-M,BiMo-B,BiMo
ant_main(10)10%=0.1,0.800000011920929,0.800000011920929,0.800000011920929
argouml(12)10%=0.1,1.0,0.9166666865348816,1.0
gwtportlets(27)10%=0.1,0.29629629850387573,0.40740740299224854,0.40740740299224854
javaclient(57)10%=0.1,0.17543859779834747,0.15789473056793213,0.21052631735801697
jedit(7)10%=0.1,1.0,1.0,1.0
jgap(18)10%=0.1,0.3333333432674408,0.3333333432674408,0.3333333432674408
jhotdraw(9)10%=0.1,0.8888888955116272,1.0,1.0
jmeter_core(14)10%=0.1,0.4285714328289032,0.3571428656578064,0.3571428656578064
JPMC(24)10%=0.1,0.125,0.0416666679084301,0.0833333358168602
log4j(9)10%=0.1,0.7777777910232544,0.7777777910232544,0.7777777910232544
Mars(29)10%=0.1,0.5517241358757019,0.5862069129943848,0.5862069129943848
Maze(27)10%=0.1,0.3333333432674408,0.37037035822868347,0.3333333432674408
neuroph(24)10%=0.1,0.4583333432674408,0.4583333432674408,0.4583333432674408
PDFBox(12)10%=0.1,0.75,0.8333333134651184,0.8333333134651184
tomcat(28)10%=0.1,0.8214285969734192,0.8928571343421936,0.8928571343421936
wro4j(12)10%=0.1,1.0,1.0,1.0
Xerces(6)10%=0.1,0.8333333134651184,0.6666666865348816,0.8333333134651184
xuml(37)10%=0.1,0.0,0.0,0.0
