wro4j(12),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.0833333358168602,0.0,0.0,0.3333333432674408,0.3333333432674408,0.0833333358168602,0.25,0.25,0.25,0.25,0.25,0.3333333432674408
2%=0.02,0.3333333432674408,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.4166666567325592,0.5,0.5,0.3333333432674408,0.5,0.4166666567325592
3%=0.03,0.4166666567325592,0.0,0.1666666716337204,0.5,0.5,0.5833333134651184,0.6666666865348816,0.6666666865348816,0.5,0.5833333134651184,0.5833333134651184,0.6666666865348816
4%=0.04,0.5833333134651184,0.0,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.6666666865348816,0.75,0.8333333134651184,0.5833333134651184,0.9166666865348816,0.8333333134651184,0.9166666865348816
5%=0.05,0.75,0.0,0.5833333134651184,0.8333333134651184,0.8333333134651184,0.75,0.8333333134651184,0.8333333134651184,0.75,0.9166666865348816,1.0,1.0
6%=0.06,0.75,0.0,0.5833333134651184,0.8333333134651184,0.8333333134651184,0.75,0.8333333134651184,0.8333333134651184,0.8333333134651184,1.0,1.0,1.0
7%=0.07,0.75,0.0,0.6666666865348816,0.9166666865348816,0.9166666865348816,0.75,0.9166666865348816,0.8333333134651184,0.8333333134651184,1.0,1.0,1.0
8%=0.08,0.8333333134651184,0.0,0.75,0.9166666865348816,0.9166666865348816,0.8333333134651184,0.9166666865348816,0.9166666865348816,0.8333333134651184,1.0,1.0,1.0
9%=0.09,0.8333333134651184,0.0,0.8333333134651184,0.9166666865348816,0.9166666865348816,0.9166666865348816,1.0,1.0,0.8333333134651184,1.0,1.0,1.0
10%=0.1,0.9166666865348816,0.0,0.8333333134651184,0.9166666865348816,0.9166666865348816,0.9166666865348816,1.0,1.0,0.8333333134651184,1.0,1.0,1.0
11%=0.11,0.9166666865348816,0.0,0.8333333134651184,0.9166666865348816,0.9166666865348816,0.9166666865348816,1.0,1.0,0.8333333134651184,1.0,1.0,1.0
12%=0.12,0.9166666865348816,0.0,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.9166666865348816,1.0,1.0,0.9166666865348816,1.0,1.0,1.0
13%=0.13,0.9166666865348816,0.0,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.9166666865348816,1.0,1.0,0.9166666865348816,1.0,1.0,1.0
14%=0.14,0.9166666865348816,0.0,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.9166666865348816,1.0,1.0,0.9166666865348816,1.0,1.0,1.0
15%=0.15,0.9166666865348816,0.0,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.9166666865348816,1.0,1.0,1.0,1.0,1.0,1.0
