Mars(29),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.17241379618644714,0.0,0.13793103396892548,0.2068965584039688,0.2068965584039688,0.13793103396892548,0.2068965584039688,0.13793103396892548,0.13793103396892548,0.13793103396892548,0.13793103396892548,0.13793103396892548
2%=0.02,0.3103448152542114,0.0,0.24137930572032928,0.27586206793785095,0.27586206793785095,0.27586206793785095,0.3448275923728943,0.24137930572032928,0.24137930572032928,0.24137930572032928,0.27586206793785095,0.27586206793785095
3%=0.03,0.3448275923728943,0.0,0.27586206793785095,0.27586206793785095,0.27586206793785095,0.27586206793785095,0.4137931168079376,0.27586206793785095,0.24137930572032928,0.3448275923728943,0.37931033968925476,0.37931033968925476
4%=0.04,0.37931033968925476,0.0,0.3448275923728943,0.3103448152542114,0.3103448152542114,0.3448275923728943,0.48275861144065857,0.37931033968925476,0.3448275923728943,0.4482758641242981,0.4482758641242981,0.4137931168079376
5%=0.05,0.48275861144065857,0.0,0.48275861144065857,0.3448275923728943,0.3448275923728943,0.3448275923728943,0.48275861144065857,0.4482758641242981,0.37931033968925476,0.4482758641242981,0.48275861144065857,0.4482758641242981
6%=0.06,0.517241358757019,0.0,0.5517241358757019,0.3448275923728943,0.3448275923728943,0.4482758641242981,0.48275861144065857,0.517241358757019,0.48275861144065857,0.48275861144065857,0.48275861144065857,0.4482758641242981
7%=0.07,0.5517241358757019,0.0,0.5517241358757019,0.37931033968925476,0.37931033968925476,0.48275861144065857,0.517241358757019,0.517241358757019,0.48275861144065857,0.517241358757019,0.48275861144065857,0.48275861144065857
8%=0.08,0.5862069129943848,0.0,0.5862069129943848,0.4137931168079376,0.4137931168079376,0.5862069129943848,0.517241358757019,0.5517241358757019,0.517241358757019,0.517241358757019,0.517241358757019,0.517241358757019
9%=0.09,0.6206896305084229,0.0,0.6206896305084229,0.4482758641242981,0.4482758641242981,0.5862069129943848,0.517241358757019,0.5517241358757019,0.517241358757019,0.5517241358757019,0.5517241358757019,0.5517241358757019
10%=0.1,0.6206896305084229,0.0,0.6206896305084229,0.48275861144065857,0.48275861144065857,0.5862069129943848,0.517241358757019,0.5517241358757019,0.517241358757019,0.5517241358757019,0.6551724076271057,0.6206896305084229
11%=0.11,0.6206896305084229,0.0,0.6206896305084229,0.517241358757019,0.517241358757019,0.5862069129943848,0.6206896305084229,0.5517241358757019,0.5517241358757019,0.5862069129943848,0.7241379022598267,0.6551724076271057
12%=0.12,0.6551724076271057,0.0,0.6551724076271057,0.517241358757019,0.517241358757019,0.6551724076271057,0.6896551847457886,0.5517241358757019,0.5862069129943848,0.5862069129943848,0.7241379022598267,0.6551724076271057
13%=0.13,0.6551724076271057,0.1034482792019844,0.6551724076271057,0.5517241358757019,0.5517241358757019,0.6551724076271057,0.6896551847457886,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.7241379022598267,0.6896551847457886
14%=0.14,0.6551724076271057,0.1034482792019844,0.6551724076271057,0.5517241358757019,0.5517241358757019,0.6551724076271057,0.6896551847457886,0.6551724076271057,0.5862069129943848,0.6206896305084229,0.7241379022598267,0.6896551847457886
15%=0.15,0.6551724076271057,0.1034482792019844,0.6551724076271057,0.5862069129943848,0.5862069129943848,0.6551724076271057,0.6896551847457886,0.6896551847457886,0.6206896305084229,0.6896551847457886,0.7241379022598267,0.7241379022598267
