jedit(7),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.5714285969734192,0.0,0.5714285969734192,0.5714285969734192,0.5714285969734192,0.7142857313156128,0.5714285969734192,0.7142857313156128,0.7142857313156128,0.7142857313156128,0.7142857313156128,0.7142857313156128
2%=0.02,0.8571428656578064,0.0,0.7142857313156128,0.8571428656578064,0.8571428656578064,0.8571428656578064,0.7142857313156128,0.7142857313156128,0.7142857313156128,0.8571428656578064,0.8571428656578064,0.8571428656578064
3%=0.03,0.8571428656578064,0.0,0.8571428656578064,0.8571428656578064,0.8571428656578064,0.8571428656578064,0.7142857313156128,0.8571428656578064,0.8571428656578064,0.8571428656578064,0.8571428656578064,0.8571428656578064
4%=0.04,0.8571428656578064,0.0,0.8571428656578064,1.0,1.0,0.8571428656578064,0.7142857313156128,0.8571428656578064,0.8571428656578064,0.8571428656578064,0.8571428656578064,1.0
5%=0.05,0.8571428656578064,0.0,0.8571428656578064,1.0,1.0,0.8571428656578064,0.8571428656578064,0.8571428656578064,0.8571428656578064,0.8571428656578064,1.0,1.0
6%=0.06,0.8571428656578064,0.0,0.8571428656578064,1.0,1.0,0.8571428656578064,0.8571428656578064,0.8571428656578064,1.0,1.0,1.0,1.0
7%=0.07,0.8571428656578064,0.0,0.8571428656578064,1.0,1.0,0.8571428656578064,0.8571428656578064,0.8571428656578064,1.0,1.0,1.0,1.0
8%=0.08,0.8571428656578064,0.0,0.8571428656578064,1.0,1.0,0.8571428656578064,1.0,0.8571428656578064,1.0,1.0,1.0,1.0
9%=0.09,0.8571428656578064,0.0,0.8571428656578064,1.0,1.0,0.8571428656578064,1.0,1.0,1.0,1.0,1.0,1.0
10%=0.1,0.8571428656578064,0.0,0.8571428656578064,1.0,1.0,0.8571428656578064,1.0,1.0,1.0,1.0,1.0,1.0
11%=0.11,0.8571428656578064,0.0,0.8571428656578064,1.0,1.0,0.8571428656578064,1.0,1.0,1.0,1.0,1.0,1.0
12%=0.12,0.8571428656578064,0.0,0.8571428656578064,1.0,1.0,0.8571428656578064,1.0,1.0,1.0,1.0,1.0,1.0
13%=0.13,1.0,0.0,0.8571428656578064,1.0,1.0,0.8571428656578064,1.0,1.0,1.0,1.0,1.0,1.0
14%=0.14,1.0,0.0,0.8571428656578064,1.0,1.0,0.8571428656578064,1.0,1.0,1.0,1.0,1.0,1.0
15%=0.15,1.0,0.0,0.8571428656578064,1.0,1.0,0.8571428656578064,1.0,1.0,1.0,1.0,1.0,1.0
