log4j(9),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.3333333432674408,0.0,0.2222222238779068,0.1111111119389534,0.1111111119389534,0.2222222238779068,0.2222222238779068,0.1111111119389534,0.1111111119389534,0.2222222238779068,0.2222222238779068,0.2222222238779068
2%=0.02,0.3333333432674408,0.0,0.2222222238779068,0.2222222238779068,0.2222222238779068,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.4444444477558136,0.3333333432674408
3%=0.03,0.4444444477558136,0.0,0.4444444477558136,0.6666666865348816,0.6666666865348816,0.3333333432674408,0.4444444477558136,0.4444444477558136,0.4444444477558136,0.4444444477558136,0.4444444477558136,0.4444444477558136
4%=0.04,0.5555555820465088,0.0,0.4444444477558136,0.6666666865348816,0.6666666865348816,0.4444444477558136,0.5555555820465088,0.5555555820465088,0.5555555820465088,0.5555555820465088,0.5555555820465088,0.5555555820465088
5%=0.05,0.5555555820465088,0.0,0.5555555820465088,0.6666666865348816,0.6666666865348816,0.5555555820465088,0.5555555820465088,0.5555555820465088,0.5555555820465088,0.5555555820465088,0.5555555820465088,0.5555555820465088
6%=0.06,0.6666666865348816,0.0,0.5555555820465088,0.6666666865348816,0.6666666865348816,0.5555555820465088,0.6666666865348816,0.5555555820465088,0.5555555820465088,0.6666666865348816,0.6666666865348816,0.7777777910232544
7%=0.07,0.6666666865348816,0.0,0.5555555820465088,0.6666666865348816,0.6666666865348816,0.5555555820465088,0.6666666865348816,0.6666666865348816,0.5555555820465088,0.6666666865348816,0.7777777910232544,0.7777777910232544
8%=0.08,0.6666666865348816,0.0,0.5555555820465088,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.7777777910232544,0.7777777910232544
9%=0.09,0.6666666865348816,0.0,0.5555555820465088,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.7777777910232544,0.7777777910232544,0.7777777910232544
10%=0.1,0.6666666865348816,0.0,0.5555555820465088,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.7777777910232544,0.7777777910232544,0.7777777910232544
11%=0.11,0.6666666865348816,0.0,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.7777777910232544,0.7777777910232544,0.7777777910232544
12%=0.12,0.6666666865348816,0.0,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.7777777910232544,0.7777777910232544,0.7777777910232544
13%=0.13,0.6666666865348816,0.0,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.7777777910232544,0.6666666865348816,0.6666666865348816,0.7777777910232544,0.8888888955116272,0.7777777910232544
14%=0.14,0.6666666865348816,0.0,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.7777777910232544,0.6666666865348816,0.6666666865348816,0.7777777910232544,0.8888888955116272,0.7777777910232544
15%=0.15,0.6666666865348816,0.0,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.7777777910232544,0.6666666865348816,0.6666666865348816,0.8888888955116272,0.8888888955116272,0.7777777910232544
