software,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,PrideWithMotifCoreness
ant,3.625,12.0,7.625,7.5625,7.5625,9.375,5.75,8.1875,9.8125,3.5,1.8125,1.1875
ant,3.625,12.0,7.625,7.5625,7.5625,9.375,5.75,8.1875,9.8125,3.5,1.8125,1.1875
