ant,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,PrideWithMotifCoreness
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0.032081788,0,0,0.030724574,0.030724574,0.027211587,0.024365738,0.024507643,0.031452087,0.029137272,0.030111931,0.02914
3,0.059910659,0,0,0.062696132,0.062696132,0.060721288,0.050460682,0.049059377,0.050448266,0.051991476,0.065067028,0.04813
4,0.074020006,0.002057613,0.013227513,0.075409242,0.075409242,0.087653974,0.069456861,0.062433862,0.074845679,0.06995386,0.080682843,0.07736
5,0.088504133,0.003559115,0.031691884,0.106574733,0.106574733,0.093826814,0.102699304,0.074326288,0.099544386,0.087536396,0.106209236,0.10143
6,0.110702029,0.003559115,0.063482007,0.125080915,0.125080915,0.104886485,0.115674683,0.103507652,0.115645209,0.110324462,0.117268907,0.12421
7,0.1356924,0.011789567,0.063482007,0.157566876,0.157566876,0.118897673,0.136520433,0.132644924,0.126562975,0.131304768,0.146994068,0.13825
8,0.156126627,0.011789567,0.075827687,0.164971576,0.164971576,0.13300702,0.151078046,0.142087899,0.149221126,0.154269201,0.152951517,0.15585
9,0.167315866,0.011789567,0.143270599,0.172234372,0.172234372,0.159755991,0.17408429,0.15069085,0.161255456,0.170331,0.172609072,0.17397
10,0.169299993,0.011789567,0.156822465,0.188095051,0.188095051,0.174693025,0.181144032,0.158632426,0.177390742,0.195688802,0.189222017,0.19279
11,0.175472832,0.013847181,0.156822465,0.194525093,0.194525093,0.193725947,0.203160493,0.173807323,0.185663005,0.208921383,0.202197397,0.19907
12,0.203161653,0.018219608,0.197460325,0.211189052,0.211189052,0.213787675,0.210092601,0.189758893,0.196208273,0.21946665,0.226026259,0.23529
13,0.212420912,0.01972111,0.197460325,0.228482712,0.228482712,0.220651365,0.218102595,0.205908449,0.207194458,0.222425436,0.264968949,0.2537
14,0.256605448,0.023280225,0.207206914,0.245421277,0.245421277,0.223737785,0.230191072,0.207824158,0.2263817,0.239873417,0.275472485,0.28335
15,0.27505048,0.023280225,0.223050536,0.258391589,0.258391589,0.228719375,0.238201066,0.220324158,0.238984581,0.268141272,0.298174729,0.28638
16,0.304413279,0.023280225,0.223050536,0.276084355,0.276084355,0.233721503,0.245605766,0.240655505,0.245015516,0.287377247,0.313707001,0.30388
17,0.311100522,0.026283228,0.256780694,0.29532033,0.29532033,0.234696162,0.249978194,0.268379135,0.254477829,0.304562959,0.316739273,0.33687
18,0.319907261,0.026283228,0.26706876,0.298210698,0.298210698,0.251801038,0.264864215,0.284693068,0.270737615,0.309652844,0.332281601,0.35114
19,0.325796291,0.027784729,0.286841612,0.310997294,0.310997294,0.254115853,0.294724012,0.301952265,0.285939199,0.325084943,0.347498309,0.35312
20,0.334394175,0.030099544,0.287816271,0.318916398,0.318916398,0.26631456,0.312458589,0.307299352,0.287996812,0.329383884,0.357732227,0.3629
21,0.350340677,0.03391586,0.329997341,0.322205871,0.322205871,0.280942178,0.320657367,0.311414578,0.299313684,0.340284246,0.373482677,0.37519
22,0.357341203,0.035973473,0.329997341,0.32781016,0.32781016,0.288070338,0.345091523,0.317771133,0.312531142,0.358349511,0.38140178,0.38697
23,0.364812468,0.038031087,0.329997341,0.340670242,0.340670242,0.301444824,0.349721153,0.329460505,0.325097279,0.366011413,0.396529878,0.39489
24,0.377929751,0.042535591,0.336941785,0.344638496,0.344638496,0.308235027,0.360896121,0.329460505,0.33832986,0.384916701,0.405220587,0.40539
25,0.39644827,0.044593204,0.341314213,0.352300398,0.352300398,0.319130321,0.373959257,0.344346525,0.342560384,0.392578602,0.410425769,0.4275
26,0.40262111,0.046094706,0.359244842,0.361946426,0.361946426,0.323245547,0.380132096,0.351934941,0.346602124,0.400613003,0.420071798,0.43608
27,0.404536818,0.046094706,0.389459267,0.368946952,0.368946952,0.324220206,0.39324938,0.364795023,0.348916939,0.416402476,0.427990901,0.44169
28,0.443585056,0.047596207,0.389459267,0.378592981,0.378592981,0.336511738,0.401479833,0.378683912,0.351807307,0.434205472,0.445541763,0.44472
29,0.445899871,0.053212935,0.398718526,0.383798163,0.383798163,0.345832146,0.403537446,0.380998727,0.360735878,0.446306366,0.447599376,0.44878
30,0.445899871,0.055270548,0.421440961,0.391717267,0.391717267,0.358123678,0.41511152,0.387685969,0.365108306,0.449338638,0.456032882,0.45167
