software04,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
ant_main(10)4,0.1,0.0,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.1,0.1
argouml(12)4,0.16666666666666666,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.25
gwtportlets(27)4,0.07407407407407407,0.037037037037037035,0.0,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
javaclient(57)4,0.03508771929824561,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.017543859649122806,0.03508771929824561
jedit(7)4,0.42857142857142855,0.0,0.0,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
jgap(18)4,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jhotdraw(9)4,0.2222222222222222,0.0,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222
jmeter_core(14)4,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
JPMC(24)4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0
log4j(9)4,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
Mars(29)4,0.06896551724137931,0.0,0.0,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655
Maze(27)4,0.07407407407407407,0.0,0.0,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
neuroph(24)4,0.16666666666666666,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.125,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.125
PDFBox(12)4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomcat(28)4,0.03571428571428571,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.03571428571428571,0.0
wro4j(12)4,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.25,0.25,0.25,0.16666666666666666,0.25
Xerces(6)4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xuml(37)4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
