k,BiMo-0.05,BiMo-0.1,BiMo-0.15,BiMo-0.2,BiMo-0.25,BiMo-0.3,BiMo-0.35,BiMo-0.4,BiMo-0.45,BiMo-0.5,BiMo-0.55,BiMo-0.6,BiMo-0.65,BiMo-0.7,BiMo-0.75,BiMo-0.8,BiMo-0.9,BiMo-0.95,BiMo-0.85
top-27,0.460148032,0.463552801,0.450178319,0.461127761,0.469260396,0.467202784,0.473890026,0.466614894,0.463969393,0.466541413,0.464998202,0.469769734,0.479046398,0.479046398,0.471844753,0.463756204,0.455525749,0.451295227,0.444613053
top-28,0.46420911,0.471214703,0.4707003,0.464086549,0.474533998,0.474533998,0.481478443,0.488165687,0.486108075,0.484454635,0.493713892,0.478629885,0.482078668,0.484136283,0.482078671,0.464730863,0.463959259,0.456899514,0.452532155
top-29,0.469556196,0.473529518,0.488116529,0.484520775,0.483131882,0.481478443,0.488165687,0.492133942,0.490223302,0.488569862,0.497829119,0.495771504,0.49711166,0.488765912,0.482078671,0.476304938,0.471675307,0.472846019,0.456593235
top-30,0.473671423,0.482220224,0.496035631,0.49799543,0.488736171,0.489140343,0.491124471,0.495166216,0.49748103,0.494174149,0.498803778,0.505765627,0.500143935,0.492055388,0.489740572,0.490139678,0.497341327,0.478822807,0.462881375
,0.294052471,0.297240888,0.299050795,0.299977825,0.302645238,0.302934408,0.303514161,0.304077705,0.303945672,0.303619622,0.304320891,0.304654206,0.303218707,0.302357278,0.301462794,0.301688526,0.29252958,0.285074262,0.285393175
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,0.294 ,,,,,,,,,,,,,,,,,,
,0.297 ,,,,,,,,,,,,,,,,,,
,0.299 ,,,,,,,,,,,,,,,,,,
,0.300 ,,,,,,,,,,,,,,,,,,
,0.303 ,,,,,,,,,,,,,,,,,,
,0.303 ,,,,,,,,,,,,,,,,,,
,0.304 ,,,,,,,,,,,,,,,,,,
,0.304 ,,,,,,,,,,,,,,,,,,
,0.304 ,,,,,,,,,,,,,,,,,,
,0.304 ,,,,,,,,,,,,,,,,,,
,0.304 ,,,,,,,,,,,,,,,,,,
,0.305 ,,,,,,,,,,,,,,,,,,
,0.303 ,,,,,,,,,,,,,,,,,,
,0.302 ,,,,,,,,,,,,,,,,,,
,0.301 ,,,,,,,,,,,,,,,,,,
,0.302 ,,,,,,,,,,,,,,,,,,
,0.293 ,,,,,,,,,,,,,,,,,,
,0.285 ,,,,,,,,,,,,,,,,,,
,0.285 ,,,,,,,,,,,,,,,,,,
