Absolute Classe Path,P1,P2,P3,P4,P5,,
trymall\trymall-db\src\main\java\com\linfeng\db\base\BaseInterface.java,95,111,116,96,96,,
trymall\trymall-common\src\main\java\com\linfeng\common\response\ApiResult.java,189,179,213,185,231,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\HomeServiceImpl.java,276,338,355,298,285,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\HdkApiRequest.java,94,97,112,78,94,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\DiscoveryServiceImpl.java,200,200,249,222,240,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\GoodsServiceImpl.java,166,182,211,179,220,,
trymall\trymall-common\src\main\java\com\linfeng\common\exception\TrymallException.java,57,71,79,69,83,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\SearchServiceImpl.java,109,146,137,112,133,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\LogService.java,21,23,37,28,32,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\BrandService.java,32,24,32,40,43,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\HomeService.java,21,15,26,33,29,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallSysConfigService.java,39,33,53,43,42,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\tbk\TrymallBanner.java,25,21,31,31,23,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallCourseService.java,31,31,46,35,36,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallSystemMessageService.java,23,27,41,32,29,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallBannerService.java,35,30,34,35,44,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\UploadController.java,76,74,98,71,77,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\DiscoveryService.java,19,14,29,29,28,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\GoodsService.java,24,22,33,20,27,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallBannerServiceImpl.java,59,51,57,52,63,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallCourse.java,28,45,41,29,37,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallSystemMessage.java,17,13,28,16,22,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallCourseController.java,93,86,99,82,103,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallSystemMessageController.java,68,68,76,72,66,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\system\Log.java,44,46,53,40,45,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\SearchService.java,17,22,34,25,28,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiBrand.java,19,19,23,20,25,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiColumn.java,27,28,47,36,41,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiDeserver.java,23,26,31,28,28,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiHot.java,21,33,29,27,25,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiTalent.java,10,8,15,18,16,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiTalentArticle.java,9,21,16,18,16,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiHandpick.java,13,16,15,17,17,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiNews.java,10,6,15,20,18,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiTheme.java,17,16,30,22,24,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiThemeList.java,5,0,17,14,10,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiGoodsDetails.java,17,16,31,24,24,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiGoodsLike.java,23,30,31,25,25,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiGoodsRates.java,17,18,25,24,21,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiKeyword.java,15,23,21,16,21,,
trymall\trymall-api\src\main\java\com\linfeng\api\aspect\AppLogAspect.java,79,89,105,86,95,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiSearchGoods.java,38,29,53,41,40,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\SystemConfigService.java,24,33,26,34,27,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\tbk\TrymallSysConfig.java,36,26,43,40,37,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\LogServiceImpl.java,48,51,75,51,57,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallSearchhistoryService.java,21,25,29,28,34,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallBannerController.java,71,75,73,61,71,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallSearchhistory.java,21,25,32,29,33,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\BrandController.java,64,65,57,55,68,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallSysConfigController.java,76,74,81,63,75,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\QiNiuService.java,12,22,26,18,20,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallIssueService.java,16,28,32,24,28,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallCourseServiceImpl.java,45,41,48,53,52,,
trymall\trymall-api\src\main\java\com\linfeng\api\redis\listener\RedisKeyExpirationListener.java,63,83,85,69,71,,
trymall\trymall-api\src\main\java\com\linfeng\api\redis\Initial\RedisKeyInitialization.java,92,108,104,117,101,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\thread\LocalUser.java,76,97,91,86,85,,
trymall\trymall-common\src\main\java\com\linfeng\common\exception\GlobalExceptionHandler.java,270,255,247,304,296,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallIssueController.java,50,58,59,54,65,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallSearchhistoryController.java,22,18,36,23,29,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\StringUtils.java,310,355,359,349,324,,
trymall\trymall-api\src\main\java\com\linfeng\api\redis\lock\RedisLock.java,192,197,195,198,212,,
trymall\trymall-api\src\main\java\com\linfeng\api\redis\listener\RedisListenerConfig.java,43,46,58,42,49,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\HomeController.java,31,33,41,31,35,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\sms\SmsUtils.java,67,51,71,65,62,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\RequestHolder.java,26,38,35,27,38,,
trymall\trymall-common\src\main\java\com\linfeng\common\exception\BadRequestException.java,33,45,35,44,35,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\DiscoveryController.java,39,40,46,47,56,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\GoodsController.java,40,29,44,46,50,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\SearchController.java,42,42,54,56,60,,
trymall\trymall-common\src\main\java\com\linfeng\common\exception\BusinessException.java,34,27,37,30,42,,
trymall\trymall-common\src\main\java\com\linfeng\common\exception\DaoException.java,13,16,20,16,22,,
trymall\trymall-common\src\main\java\com\linfeng\common\exception\UnAuthenticatedException.java,21,35,30,22,28,,
trymall\trymall-api\src\main\java\com\linfeng\api\aspect\RepeatSubmitAspect.java,73,82,83,86,90,,
trymall\trymall-db\src\main\java\com\linfeng\db\mapper\TrymallCourseMapper.java,46,44,55,51,51,,
trymall\trymall-db\src\main\java\com\linfeng\db\mapper\TrymallSystemMessageMapper.java,53,52,71,57,54,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\oss\QiNiuUtil.java,36,44,46,41,37,,
trymall\trymall-api\src\main\java\com\linfeng\api\config\MyMetaObjectHandler.java,127,109,138,116,145,,
trymall\trymall-api\src\main\java\com\linfeng\api\config\MybatisPlusConfig.java,42,38,52,48,48,,
trymall\trymall-db\src\main\java\com\linfeng\db\mapper\TrymallSysConfigMapper.java,16,25,20,21,26,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\oss\FileUtil.java,568,538,596,578,579,,
trymall\trymall-api\src\main\java\com\linfeng\api\ApiApplication.java,66,66,68,61,60,,
trymall\trymall-api\src\main\java\com\linfeng\api\config\CorsConfig.java,53,50,63,58,46,,
trymall\trymall-api\src\main\java\com\linfeng\api\config\InterceptorConfig.java,34,28,37,37,39,,
trymall\trymall-api\src\main\java\com\linfeng\api\config\ValidatorConfiguration.java,30,33,42,34,39,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\AuthController.java,255,221,251,201,203,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallAdminController.java,40,46,59,61,49,,
trymall\trymall-api\src\main\java\com\linfeng\api\intercepter\AdminAuthCheck.java,184,180,222,216,203,,
trymall\trymall-api\src\main\java\com\linfeng\api\intercepter\AuthCheckInterceptor.java,186,182,222,214,216,,
trymall\trymall-api\src\main\java\com\linfeng\api\redis\config\RedisConfig.java,219,225,247,246,223,,
trymall\trymall-api\src\main\java\com\linfeng\api\redis\util\RedisUtils.java,348,439,390,358,375,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\BrandServiceImpl.java,36,42,57,36,48,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\QiNiuServiceImpl.java,39,35,45,43,42,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\SystemConfigServiceImpl.java,35,32,41,31,34,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallIssueServiceImpl.java,25,32,33,31,36,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallSearchhistoryServiceImpl.java,31,43,47,41,49,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallSysConfigServiceImpl.java,31,45,37,34,40,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallSystemMessageServiceImpl.java,28,34,40,36,37,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\jwt\JwtToken.java,132,127,137,109,113,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\ThrowableUtil.java,26,27,31,23,25,,
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestBrandService.java,22,25,30,24,24,,
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestIssueService.java,17,24,22,18,19,,
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestSearchService.java,13,9,24,16,18,,
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestSystemConfigService.java,17,17,26,19,29,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\system\SystemConfig.java,17,27,20,21,21,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallAdmin.java,13,17,26,19,23,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallIssue.java,17,21,22,21,19,,
trymall\trymall-common\src\main\java\com\linfeng\common\enums\SmsTypeEnum.java,20,25,38,31,31,,
trymall\trymall-common\src\main\java\com\linfeng\common\generation\CodeGeneration.java,84,93,88,77,74,,
trymall\trymall-common\src\main\java\com\linfeng\common\response\ApiCode.java,67,72,76,83,86,,
trymall\trymall-db\src\main\java\com\linfeng\db\mapper\TrymallBannerMapper.java,24,22,32,31,30,,
,7169,7556,8527,7698,8045,,
,,,,,7799,avg per class,70.9
,,,,,2.166388889,,
,,,,median,40,,
