jmeter_core(14),TSPageRank,PrideWithMotifCoreness,TSPrideWithMotifCoreness
1%=0.01,0.0714285746216774,0.0714285746216774,0.0714285746216774
2%=0.02,0.0714285746216774,0.0714285746216774,0.0714285746216774
3%=0.03,0.1428571492433548,0.0714285746216774,0.0714285746216774
4%=0.04,0.2142857164144516,0.1428571492433548,0.1428571492433548
5%=0.05,0.2142857164144516,0.2857142984867096,0.2857142984867096
6%=0.06,0.2857142984867096,0.3571428656578064,0.3571428656578064
7%=0.07,0.3571428656578064,0.3571428656578064,0.3571428656578064
8%=0.08,0.3571428656578064,0.3571428656578064,0.3571428656578064
9%=0.09,0.4285714328289032,0.3571428656578064,0.3571428656578064
10%=0.1,0.4285714328289032,0.3571428656578064,0.4285714328289032
11%=0.11,0.5,0.4285714328289032,0.5
12%=0.12,0.5,0.5,0.5
13%=0.13,0.5,0.5,0.5
14%=0.14,0.5,0.5,0.5
15%=0.15,0.5714285969734192,0.5,0.5714285969734192
