software12,TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
ant_main(10)12,0.5,0.4,0.4
argouml(12)12,0.5,0.5,0.5
gwtportlets(27)12,0.3333333333333333,0.2962962962962963,0.3333333333333333
javaclient(57)12,0.0701754385964912,0.0701754385964912,0.0701754385964912
jedit(7)12,0.7142857142857143,0.7142857142857143,0.7142857142857143
jgap(18)12,0.1111111111111111,0.1111111111111111,0.1111111111111111
jhotdraw(9)12,0.3333333333333333,0.3333333333333333,0.3333333333333333
jmeter_core(14)12,0.2142857142857142,0.2142857142857142,0.2142857142857142
JPMC(24)12,0.0833333333333333,0.0833333333333333,0.0833333333333333
log4j(9)12,0.1111111111111111,0.2222222222222222,0.2222222222222222
Mars(29)12,0.1379310344827586,0.1379310344827586,0.1379310344827586
Maze(27)12,0.3703703703703703,0.3703703703703703,0.3703703703703703
neuroph(24)12,0.375,0.375,0.375
PDFBox(12)12,0.0833333333333333,0.1666666666666666,0.1666666666666666
tomcat(28)12,0.1428571428571428,0.1071428571428571,0.1428571428571428
wro4j(12)12,0.25,0.3333333333333333,0.4166666666666667
Xerces(6)12,0.1666666666666666,0.0,0.0
xuml(37)12,0.0,0.0,0.0
