software11,TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
ant_main(10)11,0.4,0.4,0.4
argouml(12)11,0.5,0.5,0.5
gwtportlets(27)11,0.2962962962962963,0.2592592592592592,0.2962962962962963
javaclient(57)11,0.0526315789473684,0.0526315789473684,0.0526315789473684
jedit(7)11,0.5714285714285714,0.5714285714285714,0.5714285714285714
jgap(18)11,0.1111111111111111,0.1111111111111111,0.1111111111111111
jhotdraw(9)11,0.3333333333333333,0.2222222222222222,0.2222222222222222
jmeter_core(14)11,0.2142857142857142,0.1428571428571428,0.2142857142857142
JPMC(24)11,0.0833333333333333,0.0833333333333333,0.0833333333333333
log4j(9)11,0.1111111111111111,0.2222222222222222,0.2222222222222222
Mars(29)11,0.1379310344827586,0.1379310344827586,0.1379310344827586
Maze(27)11,0.3333333333333333,0.3333333333333333,0.3333333333333333
neuroph(24)11,0.3333333333333333,0.3333333333333333,0.3333333333333333
PDFBox(12)11,0.0833333333333333,0.1666666666666666,0.1666666666666666
tomcat(28)11,0.1428571428571428,0.1071428571428571,0.1071428571428571
wro4j(12)11,0.25,0.3333333333333333,0.3333333333333333
Xerces(6)11,0.1666666666666666,0.0,0.0
xuml(37)11,0.0,0.0,0.0
