software27,TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
ant_main(10)27,0.7,0.6,0.7
argouml(12)27,0.6666666666666666,0.8333333333333334,0.8333333333333334
gwtportlets(27)27,0.5925925925925926,0.5185185185185185,0.5925925925925926
javaclient(57)27,0.3157894736842105,0.2280701754385964,0.3333333333333333
jedit(7)27,0.8571428571428571,0.8571428571428571,0.8571428571428571
jgap(18)27,0.2222222222222222,0.2222222222222222,0.2222222222222222
jhotdraw(9)27,0.7777777777777778,0.7777777777777778,0.7777777777777778
jmeter_core(14)27,0.3571428571428571,0.4285714285714285,0.4285714285714285
JPMC(24)27,0.125,0.2083333333333333,0.1666666666666666
log4j(9)27,0.3333333333333333,0.3333333333333333,0.3333333333333333
Mars(29)27,0.3103448275862069,0.3103448275862069,0.3103448275862069
Maze(27)27,0.5185185185185185,0.5555555555555556,0.5555555555555556
neuroph(24)27,0.5416666666666666,0.625,0.5416666666666666
PDFBox(12)27,0.25,0.25,0.25
tomcat(28)27,0.2857142857142857,0.25,0.25
wro4j(12)27,1.0,1.0,1.0
Xerces(6)27,0.1666666666666666,0.1666666666666666,0.1666666666666666
xuml(37)27,0.0,0.0,0.0
