software23,TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
ant_main(10)23,0.6,0.5,0.6
argouml(12)23,0.5833333333333334,0.75,0.8333333333333334
gwtportlets(27)23,0.5185185185185185,0.4444444444444444,0.4814814814814814
javaclient(57)23,0.2105263157894736,0.2105263157894736,0.2105263157894736
jedit(7)23,0.8571428571428571,0.8571428571428571,0.8571428571428571
jgap(18)23,0.2222222222222222,0.1666666666666666,0.2222222222222222
jhotdraw(9)23,0.6666666666666666,0.7777777777777778,0.6666666666666666
jmeter_core(14)23,0.3571428571428571,0.3571428571428571,0.3571428571428571
JPMC(24)23,0.125,0.1666666666666666,0.125
log4j(9)23,0.3333333333333333,0.3333333333333333,0.3333333333333333
Mars(29)23,0.2413793103448276,0.2758620689655172,0.2758620689655172
Maze(27)23,0.5185185185185185,0.5555555555555556,0.5555555555555556
neuroph(24)23,0.5,0.5416666666666666,0.5416666666666666
PDFBox(12)23,0.25,0.25,0.25
tomcat(28)23,0.25,0.1785714285714285,0.2142857142857142
wro4j(12)23,0.8333333333333334,0.8333333333333334,0.9166666666666666
Xerces(6)23,0.1666666666666666,0.1666666666666666,0.1666666666666666
xuml(37)23,0.0,0.0,0.0
